SORT ORDER FROM VOR DATA (earlier spreadsheets),Date,Stimulus,Clutch,AgeBlock,AgeDays,Block,Individual,StimulusTime,EndStimulusTime,StimHour,StimMin,StimTime,Response,NumH,HatchHour,HatchMin,HatchTime,TtoHhours,TtoH,HatchAge,timefirstH,HsinceH,AmpR,R2,AmpL,R2,AverageR2,Average Amp,YintRight,YintLeft,DiffRandL,"Picture Number/VORseries (WhiteSJKknownmatch,GreenJJfromsortedfolders)",JJPic#s,AlinaPic#s,"Rupture (0 delay, 1 failure)",RuptureTime,Notes,PhotoSeries,Image#(face),TadImage,TadLength,SUM of trait values,,NumH(repeat),Mean length,Stage (mean)
11,20150812,T,254,96,4,0,5,,,0,0,0,Hatched,2,0,3,0.05,0.05,3,96.05,90.03333333,5.96666667,23.70446248,0.919623752,19.72474448,0.807588972,0.863606362,21.71460348,-5.07E+00,4.53E+00,-9.60207926,7715-7742,7715-7742,,,,,,,886,10.401,5,,2,10.294,5
12,20150812,T,254,96,4,0,6,,,0,0,0,Hatched,NA,0,4,0.07,0.07,4.2,96.06666667,90.03333333,5.96666667,25.49609084,0.970870369,26.08932794,0.954848478,0.962859423,25.79270939,-8.82E+00,4.70E+00,-13.51992328,7743-7768,7743-7768,,,,,,,888,10.187,5,,NA,,
13,20150812,T,254,99,4,3,7,,,3,3,3.05,Hatched,2,3,4,3.066666667,0.016666667,1.00000002,99.06667,90.03333333,8.96666667,34.53989944,0.891153355,26.72548534,0.86418619,0.877669772,30.63269239,-9.62E+00,5.46E+00,-15.07633037,8115-8142,8115-8142,,,,,,,947,10.93,6,,2,10.7355,6
14,20150812,T,254,99,4,3,8,,,3,3,3.05,Hatched,NA,3,5,3.083333333,0.033333333,1.99999998,99.083333,90.03333333,8.96666667,31.85951932,0.934501601,28.36971655,0.931781681,0.933141641,30.11461793,-7.94E+00,9.54E+00,-17.48862849,8143-8170,8143-8170,,,,,,,949,10.541,6,,NA,,
15,20150811,H,255,81,3,9,1,9:00_9:02,9:40_9:47,9,0,9,Not Hatched,0,NA,NA,NA,NA,NA,NA,84.21666667,-12.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,441,8.337,2,,0,8.2285,2
16,20150811,H,255,81,3,9,2,9:00_9:02,9:40_9:47,9,0,9,Not Hatched,NA,NA,NA,NA,NA,NA,NA,84.21666667,-12.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,443,8.12,2,,NA,,
17,20150811,H,255,84,3,12,3,12:00_12:02,12:40_12:42,12,0,12,Not Hatched,1,NA,NA,NA,NA,NA,NA,84.21666667,-9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,517,8.715,2,,1,8.5905,2
18,20150811,H,255,84,3,12,4,12:00_12:02,12:40_12:42,12,0,12,Hatched,1,12,13,12.22,0.22,13.2,84.21666667,84.21666667,-9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,519,8.466,2,,NA,,
19,20150811,H,255,87,3,15,5,14:56_15:00,15:40_15:44,14,56,14.93,Not Hatched,1,NA,NA,NA,NA,NA,NA,84.21666667,-6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,625,8.321,2,,1,8.6165,2
20,20150811,H,255,87,3,15,6,14:56_15:00,15:40_15:44,14,56,14.93,Hatched,1,15,26,15.43,0.5,30,87.43333333,84.21666667,-6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,627,8.912,2,,NA,,
21,20150811,H,255,90,3,18,7,17:56_18:01,18:41_18:43,17,56,17.93,Hatched,2,18,15,18.25,0.32,19.2,90.25,84.21666667,-3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,none,See mech sib,715,9.232,NA,,2,9.098,3
22,20150811,H,255,90,3,18,8,17:56_18:01,18:41_18:43,17,56,17.93,Hatched,NA,18,9,18.15,0.22,13.2,90.15,84.21666667,-3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,none,See mech sib,717,8.964,NA,,NA,,
23,20150811,T,255,90,3,18,1,,,18,29,18.48,Not Hatched,0,NA,NA,NA,NA,NA,NA,93.45,-3.45,9.777343499,0.707053459,4.828927068,0.510853921,0.60895369,7.303135284,-2.00E+00,6.66E+00,-8.65092258,7206-7233,7206-7233,,,,,,,711,8.37,3,,0,8.841,3
24,20150811,T,255,90,3,18,2,,,18,29,18.48,Not Hatched,NA,NA,NA,NA,NA,NA,NA,93.45,-3.45,6.301570976,0.375040846,9.714490762,0.583364603,0.479202725,8.008030869,-6.50E+00,8.64E+00,-15.1381342,7234-7263,7234-7263,,,,dist min 29--> really 35,,,713,9.312,3,,NA,,
25,20150811,H,255,93,3,21,9,20:55_21:01,NA,20,55,20.92,Hatched,2,21,10,21.17,0.25,15,93.16666667,84.21666667,-0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7405,829,8.892,4,,2,9.0645,4
26,20150811,H,255,93,3,21,10,20:55_21:01,NA,20,55,20.92,Hatched,NA,21,13,21.22,0.3,18,93.21666667,84.21666667,-0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7406,831,9.237,4,,NA,,
27,20150811,T,255,93,3,21,3,,,21,26,21.43,Hatched,2,21,27,21.45,0.02,1.2,93.45,93.45,-0.45,27.05528893,0.898828693,30.66090588,0.870894187,0.88486144,28.8580974,-5.77E+00,1.24E+01,-18.21233968,7410-7435,7410-7435,,,,,,,837,9.055,4,,2,9.1725,4
28,20150811,T,255,93,3,21,4,,,21,26,21.43,Hatched,NA,21,30,21.5,0.07,4.2,93.5,93.45,-0.45,30.98627047,0.936591189,36.64521522,0.898270057,0.917430623,33.81574285,-4.40E+00,5.06E+00,-9.46649435,7436-7464,7436-7464,,,,,,,839,9.29,4,,NA,,
29,20150812,T,255,96,4,0,5,,,0,22,0.37,Hatched,1,0,25,0.42,0.05,3,96.41666667,93.45,2.55,24.73521091,0.947599597,25.76920484,0.909926641,0.928763119,25.25220788,-4.38E+00,8.58E+00,-12.9529635,7844-7873,7844-7873,,,,,,,931,9.493,4,,1,9.5665,4
30,20150812,T,255,96,4,0,6,,,,,,Not Hatched,1,NA,NA,NA,NA,NA,NA,93.45,2.55,28.11217749,0.664446604,27.44032515,0.628490609,0.646468607,27.77625132,-3.97E+00,8.11E+00,-12.07417032,7875-7907,7875-7907,,,,,,,933,9.64,4,,NA,,
31,20150812,T,255,99,4,3,7,,,,,,Hatched,2,3,19,3.32,NA,NA,99.31666667,93.45,5.55,35.10145193,NA,32.82597378,NA,NA,33.96371285,9.40E-01,1.82E+00,-0.875625119,8242-8268,8242-8268,,,,,,,955,9.689,6,,2,9.717,6
32,20150812,T,255,99,4,3,8,,,,,,Hatched,NA,3,17,3.28,NA,NA,99.28333333,93.45,5.55,46.92671251,NA,48.94968083,NA,NA,47.93819667,-6.66E+00,3.22E+00,-9.88212464,8269-8297,8269-8297,,,,,,,957,9.745,6,,NA,,
33,20150811,H,256,81,3,9,1,9:00_9:02,9:40_9:47,9,0,9,Hatched,1,9,12,9.2,0.2,12,81.2,96.2,-15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,448,8.11,2,,1,8.274,2
34,20150811,H,256,81,3,9,2,9:00_9:02,9:40_9:47,9,0,9,Not Hatched,1,NA,NA,NA,NA,NA,NA,96.2,-15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,450,8.438,2,,NA,,
35,20150811,H,256,84,3,12,3,12:00_12:02,12:40_12:42,12,0,12,Not Hatched,1,NA,NA,NA,NA,NA,NA,96.2,-12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1,12:28,Rescued,,,521,8.603,2,,1,8.613,2
36,20150811,H,256,84,3,12,4,12:00_12:02,12:40_12:42,12,0,12,Hatched,1,12,21,12.35,0.35,21,84.35,96.2,-12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,523,8.623,2,,NA,,
37,20150811,H,256,87,3,15,5,14:56_15:00,15:40_15:44,14,56,14.93,Hatched,2,15,15,15.25,0.32,19.2,87.25,96.2,-9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,629,8.932,2,,2,8.718,2.5
38,20150811,H,256,87,3,15,6,14:56_15:00,15:40_15:44,14,56,14.93,Hatched,NA,15,13,15.22,0.29,17.4,87.21666667,96.2,-9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,632,8.504,3,,NA,,
41,20150811,H,256,90,3,18,7,17:56_18:01,18:41_18:43,17,56,17.93333333,Hatched,2,18,14,18.23,0.29666667,17.8000002,90.23333333,96.2,-6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0,18:11,Hatched,SJK_70D,7265,719,9.316,3,,2,8.85,3
42,20150811,H,256,90,3,18,8,17:56_18:01,18:41_18:43,17,56,17.93333333,Hatched,NA,18,20,18.33,0.39666667,23.8000002,90.33333333,96.2,-6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7266,721,8.384,NA,,NA,,
39,20150811,T,256,90,3,18,1,,,18,11,18.18333333,Not Hatched,0,NA,NA,NA,NA,NA,NA,96.2,-6.2,1.745480351,0.077003962,3.67534793,0.137952663,0.107478312,2.710414141,-4.63E+00,9.67E+00,-14.30224836,,,,,,,,,707,8.862,3,,0,8.824,3
40,20150811,T,256,90,3,18,2,,,18,11,18.18333333,Not Hatched,NA,NA,NA,NA,NA,NA,NA,96.2,-6.2,3.53043355,0.097458438,6.260143599,0.300205548,0.198831993,4.895288575,-9.26E+00,7.33E+00,-16.58297179,,,,,,,,,709,8.786,3,,NA,,
43,20150811,T,256,93,3,21,3,,,21,13,21.21666667,Not Hatched,0,NA,NA,NA,NA,NA,NA,96.2,-3.2,13.27752407,0.884018783,23.90429194,0.926616474,0.905317628,18.59090801,-5.31E+00,1.02E+00,-6.33145228,,7346-7373,7410-7435,,,,,,818,9.152,3,,0,8.757,3
44,20150811,T,256,93,3,21,4,,,21,13,21.21666667,Not Hatched,NA,NA,NA,NA,NA,NA,NA,96.2,-3.2,16.16560005,0.917447075,23.10385222,0.897671358,0.907559217,19.63472614,-7.26E+00,3.86E+00,-11.1255854,,7375-7403,7436-7464,,,,,,820,8.362,3,,NA,,
45,20150811,T,256,96,4,0,5,,,0,9,0.15,Hatched,2,0,12,0.2,0.05,3,96.2,96.2,-0.2,21.65596924,0.857960109,20.64293745,0.824156348,0.841058228,21.14945335,-1.71E+00,3.08E+00,-4.79331364,7769-7811,7769-7811,7769-7811,,,,,,915,10,5,,2,9.841,5
46,20150811,T,256,96,4,0,6,,,0,9,0.15,Hatched,NA,0,13,0.22,0.07,4.2,96.21666667,96.2,-0.2,13.4852497,0.806648435,16.29236815,0.487191546,0.646919991,14.88880893,-1.64E+00,4.76E+00,-6.40496231,7814-7841,7814-7841,7812-7841,,,,,,917,9.682,5,,NA,,
47,20150812,T,256,99,4,3,7,,,3,10,3.166666667,Hatched,2,3,12,3.2,0.033333333,1.99999998,99.2,96.2,2.8,19.75308817,0.930750359,23.34370666,0.926180316,0.928465337,21.54839741,-3.98E+00,5.16E+00,-9.13996506,,,,,,,,,951,9.922,5,,2,9.7655,5
48,20150812,T,256,99,4,3,8,,,3,10,3.166666667,Hatched,NA,3,12,3.2,0.033333333,1.99999998,99.2,96.2,2.8,48.23153719,0.293437,44.38490361,0.218625179,0.25603109,46.3082204,-4.78E+00,6.89E+00,-11.67457989,,,,,,,,,953,9.609,5,,NA,,
49,20150811,H,257,81,3,9,1,9:00_9:02,9:40_9:47,9,0,9,Not Hatched,0,NA,NA,NA,NA,NA,NA,94.3,-13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,All the orange-filled are checked to make sure the photos match the tadpole ID (correct time block),,,452,8.057,2,,0,7.923,2
50,20150811,H,257,81,3,9,2,9:00_9:02,9:40_9:47,9,0,9,Not Hatched,NA,NA,NA,NA,NA,NA,NA,94.3,-13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,454,7.789,NA,,NA,,
51,20150811,H,257,84,3,12,3,12:00_12:02,12:40_12:42,12,0,12,Not Hatched,0,NA,NA,NA,NA,NA,NA,94.3,-10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,525,7.919,2,,0,7.9645,2
52,20150811,H,257,84,3,12,4,12:00_12:02,12:40_12:42,12,0,12,Not Hatched,NA,NA,NA,NA,NA,NA,NA,94.3,-10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,528,8.01,2,,NA,,
53,20150811,H,257,87,3,15,5,14:56_15:00,15:40_15:44,14,56,14.93,Not Hatched,0,NA,NA,NA,NA,NA,NA,94.3,-7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,634,8.373,2,,0,8.373,2.5
54,20150811,H,257,87,3,15,6,14:56_15:00,15:40_15:44,14,56,14.93,Not Hatched,NA,NA,NA,NA,NA,NA,NA,94.3,-7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,severed tail tip,,,636,NA,3,,NA,,
55,20150811,H,257,90,3,18,7,17:56_18:01,18:41_18:43,17,56,17.93,Hatched,1,18,20,18.33,0.4,24,90.33333333,94.3,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7271,723,8.808,2,,1,8.4555,2
56,20150811,H,257,90,3,18,8,17:56_18:01,18:41_18:43,17,56,17.93,Not Hatched,1,NA,NA,NA,NA,NA,NA,94.3,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1,18:23,Rescued,SJK_70D,7273,725,8.103,2,,NA,,
57,20150811,H,257,93,3,21,9,20:55_21:01,NA,20,55,20.92,Hatched,2,21,15,21.25,0.33,19.8,93.25,94.3,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7467,833,NA,3,,2,9.115,3
58,20150811,H,257,93,3,21,10,20:55_21:01,NA,20,55,20.92,Hatched,NA,21,16,21.27,0.35,21,93.26666667,94.3,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7468,835,9.115,3,,NA,,
59,20150811,T,257,93,3,21,1,,,22,14,22.23,Hatched,1,22,18,22.3,0.07,4.2,94.3,94.3,-1.3,10.72716559,0.769870326,24.25422745,0.928381828,0.849126077,17.49069652,-5.61E+00,2.16E+00,-7.76855704,7645-7671,7645-7671,7645-7671,,,,,,862,9.139,4,,1,9.4025,4
60,20150811,T,257,93,3,21,2,,,22,14,22.23,Not Hatched,1,NA,NA,NA,NA,NA,NA,94.3,-1.3,5.813033443,0.501983361,6.105242633,0.487065951,0.494524656,5.959138038,-3.75E+00,9.05E+00,-12.79408089,7673-7712,7673-7712,7672-7712,,,,,,864,9.666,4,,NA,,
61,20150812,H,257,96,4,0,11,23:57_0:00,NA,0,-3,-0.05,Hatched,2,0,14,0.23,0.28,16.8,96.23333333,94.3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7842,924,9.966,4,,2,9.7785,4
62,20150812,H,257,96,4,0,12,23:57_0:00,NA,0,-3,-0.05,Hatched,NA,0,12,0.2,0.25,15,96.2,94.3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7843,926,9.591,4,,NA,,
63,20150812,T,257,96,4,0,3,,,1,5,1.08,Hatched,2,1,10,1.17,0.09,5.4,97.16666667,94.3,1.7,3.051743589,0.265919977,6.496924563,0.596135658,0.431027817,4.774334076,-6.91E+00,1.15E+01,-18.45461649,8053-8085,8053-8085,8054-8085,,,,,,943,9.601,3,,2,9.5825,3.5
64,20150812,T,257,96,4,0,4,,,1,5,1.08,Hatched,NA,1,10,1.17,0.09,5.4,97.16666667,94.3,1.7,8.39638456,0.657741839,8.837913972,0.626329218,0.642035528,8.617149266,-7.49E+00,4.46E+00,-11.94341053,8088-8114,8088-8114,8088-8114,,,,,,945,9.564,4,,NA,,
65,20150812,T,257,99,4,3,5,,,3,38,3.63,Hatched,2,3,39,3.65,0.02,1.2,99.65,94.3,4.7,27.46598935,0.924972145,12.24157911,0.790836158,0.857904152,19.85378423,-1.73E+00,3.46E+00,-5.18950343,8413-8440,8413-8440,8413-8440,,,,,,968,9.852,5,,2,9.615,5
66,20150812,T,257,99,4,3,6,,,3,38,3.63,Hatched,NA,3,42,3.7,0.07,4.2,99.7,94.3,4.7,23.0860622,0.943518238,23.12703942,0.926158959,0.934838598,23.10655081,-5.90E+00,-5.72E-01,-5.329923051,8441-8467,8441-8467,,,,,,,970,9.378,5,,NA,,
67,20150811,H,258,81,3,9,1,9:00_9:02,9:40_9:47,9,0,9,Not Hatched,0,NA,NA,NA,NA,NA,NA,99.45,-18.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,456,7.923,1,,0,7.878,1.5
68,20150811,H,258,81,3,9,2,9:00_9:02,9:40_9:47,9,0,9,Not Hatched,NA,NA,NA,NA,NA,NA,NA,99.45,-18.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,458,7.833,2,,NA,,
69,20150811,H,258,84,3,12,3,12:00_12:02,12:40_12:42,12,0,12,Not Hatched,0,NA,NA,NA,NA,NA,NA,99.45,-15.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,530,7.794,2,,0,7.772,2
70,20150811,H,258,84,3,12,4,12:00_12:02,12:40_12:42,12,0,12,Not Hatched,NA,NA,NA,NA,NA,NA,NA,99.45,-15.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,532,7.75,2,,NA,,
71,20150811,H,258,87,3,15,5,14:56_15:00,15:40_15:44,14,56,14.93,Hatched,2,15,30,15.5,0.57,34.2,87.5,99.45,-12.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0,15:24,Hatched,,,638,8.198,2,,2,8.3965,2
72,20150811,H,258,87,3,15,6,14:56_15:00,15:40_15:44,14,56,14.93,Hatched,NA,15,19,15.32,0.39,23.4,87.31666667,99.45,-12.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,640,8.595,2,,NA,,
73,20150811,H,258,90,3,18,7,17:56_18:01,18:41_18:43,17,56,17.93,Not Hatched,0,NA,NA,NA,NA,NA,NA,99.45,-9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7276,727,8.322,2,,0,8.322,2
74,20150811,H,258,90,3,18,8,17:56_18:01,18:41_18:43,17,56,17.93,Not Hatched,NA,NA,NA,NA,NA,NA,NA,99.45,-9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7277,729,NA,2,,NA,,
75,20150811,H,258,93,3,21,9,20:55_21:01,NA,20,55,20.92,Hatched,2,21,16,21.27,0.35,21,93.26666667,99.45,-6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7471,845,9.206,3,,2,9.09,3
76,20150811,H,258,93,3,21,10,20:55_21:01,NA,20,55,20.92,Hatched,NA,21,9,21.15,0.23,13.8,93.15,99.45,-6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7473,847,8.974,3,,NA,,
77,20150811,T,258,93,3,21,1,,,21,40,21.67,Not Hatched,0,NA,NA,NA,NA,NA,NA,99.45,-6.45,11.23261682,0.578756604,8.614543111,0.457387971,0.518072287,9.923579965,-2.08E+01,1.03E+01,-31.0607121,7474-7502,7474-7562,7474-7502,,,,,,853,8.42,3,,0,8.643,3
78,20150811,T,258,93,3,21,2,,,21,40,21.67,Not Hatched,NA,NA,NA,NA,NA,NA,NA,99.45,-6.45,20.1963095,NA,16.17701404,NA,NA,18.18666177,-1.39E+01,7.74E+00,-21.67195524,7503-7560,7532-7566,7503-7560,,,,,,855,8.866,3,,NA,,
79,20150812,T,258,96,4,0,3,,,0,37,0.62,Not Hatched,0,NA,NA,NA,NA,NA,NA,99.45,-3.45,3.556632356,0.188556042,8.510329585,0.533295992,0.360926017,6.03348097,-6.15E+00,1.22E+01,-18.38755098,,7844-7966,7923-7966,,,,,,935,9.065,5,,0,9.2905,5
80,20150812,T,258,96,4,0,4,,,0,37,0.62,Not Hatched,NA,NA,NA,NA,NA,NA,NA,99.45,-3.45,6.674036822,0.420448924,9.680297525,0.730788872,0.575618898,8.177167174,-7.14E+00,8.01E+00,-15.15505729,7967-7994,7967-7994,7967-7994,,,,,,937,9.516,5,,NA,,
81,20150812,T,258,99,4,3,5,,,3,24,3.4,Hatched,2,3,27,3.45,0.05,3,99.45,99.45,-0.45,11.60770663,0.566825877,8.733087035,0.645266018,0.606045947,10.17039683,-1.60E+01,5.01E+00,-21.01704068,8298-8325,8298-8325,8298-8325,,,,,,959,9.18,5,,2,9.427,5
82,20150812,T,258,99,4,3,6,,,3,24,3.4,Hatched,NA,3,25,3.42,0.02,1.2,99.41666667,99.45,-0.45,15.85616956,0.831219612,21.68718837,0.781568229,0.80639392,18.77167897,-1.76E+01,4.40E+00,-21.97891478,8326-8355,8326-8355,8326-8355,,,,,,961,9.674,5,,NA,,
83,20150812,T,258,102,4,6,7,,,6,5,6.08,Not Hatched,1,NA,NA,NA,NA,NA,NA,99.45,2.55,32.28948471,0.80218697,20.21454474,0.386607089,0.59439703,26.25201473,-1.33E+01,8.46E+00,-21.77594802,8496-8524,,,,,,,,989,9.737,5,,1,9.88,5
84,20150812,T,258,102,4,6,8,,,6,5,6.08,Hatched,1,6,7,6.12,0.04,2.4,102.1166667,99.45,2.55,25.53289799,0.956638171,29.52923814,0.94506529,0.95085173,27.53106806,-6.03E+00,2.25E+00,-8.28279904,8468-8495,,,,,,,,984,10.023,5,,NA,,
85,20150812,T,258,105,4,9,9,,,9,0,9,Hatched,2,9,1,9.02,0.02,1.2,105.0166667,99.45,5.55,41.1602965,0.978125303,43.07222045,0.978738663,0.978431983,42.11625848,-3.19E+00,-2.97E+00,-0.2171962,8634-8661,8634-8661,8634-8661,,,,,,1100,9.375,6,,2,9.556,6
86,20150812,T,258,105,4,9,10,,,9,0,9,Hatched,NA,9,1,9.02,0.02,1.2,105.0166667,99.45,5.55,36.29260778,0.933230141,38.38593401,0.962439843,0.947834992,37.3392709,-1.92E+00,3.10E+00,-5.024145,8662-8689,8662-8689,8662-8689,,,,,,1103,9.737,6,,NA,,
87,20150811,H,259,81,3,9,1,9:00_9:02,9:40_9:47,9,0,9,Not Hatched,0,NA,NA,NA,NA,NA,NA,94,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,460,6.676,1,,0,7.1055,1.5
88,20150811,H,259,81,3,9,2,9:00_9:02,9:40_9:47,9,0,9,Not Hatched,NA,NA,NA,NA,NA,NA,NA,94,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,462,7.535,2,,NA,,
89,20150811,H,259,84,3,12,3,12:00_12:02,12:40_12:42,12,0,12,Not Hatched,0,NA,NA,NA,NA,NA,NA,94,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,534,8.139,2,,0,8.038,2
90,20150811,H,259,87,3,15,4,14:56_15:00,15:40_15:44,14,56,14.93,Not Hatched,NA,NA,NA,NA,NA,NA,NA,94,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,536,7.937,2,,NA,,
91,20150811,H,259,87,3,15,5,14:56_15:00,15:40_15:44,14,56,14.93,Not Hatched,1,NA,NA,NA,NA,NA,NA,94,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,642,8.687,2,,1,8.5455,2
92,20150811,H,259,87,3,15,6,14:56_15:00,15:40_15:44,14,56,14.93,Hatched,1,15,17,15.28,0.35,21,87.28333333,94,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,644,8.404,2,,NA,,
93,20150811,H,259,90,3,18,7,17:56_18:01,18:41_18:43,17,56,17.93,Hatched,2,18,18,18.3,0.37,22.2,90.3,94,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7279,731,8.536,2,,2,8.6855,2
